x-axis,1,2,F1
second,Volt,Volt,Volt
-21.80000E-06,-3.08643209934E+00,-8.98820358515E+00,+5.79733544588E+00
-21.77500E-06,-3.00603009016E+00,-8.98820358515E+00,+5.87729150056E+00
-21.75000E-06,-3.16683410853E+00,-8.58619353175E+00,+5.31576806307E+00
-21.72500E-06,-3.00603009015E+00,-8.98820358515E+00,+5.87729150057E+00
-21.70000E-06,-3.00603009015E+00,-8.98820358515E+00,+5.87729150057E+00
-21.67500E-06,-3.08643209934E+00,-8.98820358515E+00,+5.79733544589E+00
-21.65000E-06,-3.00603009015E+00,-8.58619353175E+00,+5.47568017244E+00
-21.62500E-06,-2.92562808096E+00,-8.58619353175E+00,+5.55563622713E+00
-21.60000E-06,-2.92562808097E+00,-8.58619353175E+00,+5.55563622712E+00
-21.57500E-06,-2.92562808096E+00,-8.18418347836E+00,+5.15402489901E+00
-21.55000E-06,-2.92562808096E+00,-7.78217342496E+00,+4.75241357088E+00
-21.52500E-06,-2.92562808096E+00,-8.18418347836E+00,+5.15402489901E+00
-21.50000E-06,-2.84522607178E+00,-7.78217342496E+00,+4.83236962556E+00
-21.47500E-06,-2.76482406259E+00,-8.18418347836E+00,+5.31393700838E+00
-21.45000E-06,-2.84522607177E+00,-7.78217342496E+00,+4.83236962557E+00
-21.42500E-06,-2.84522607177E+00,-7.78217342492E+00,+4.83236962553E+00
-21.40000E-06,-2.84522607177E+00,-8.18418347836E+00,+5.23398095369E+00
-21.37500E-06,-2.84522607177E+00,-7.38016337156E+00,+4.43075829744E+00
-21.35000E-06,-2.76482406259E+00,-7.38016337156E+00,+4.51071435213E+00
-21.32500E-06,-2.76482406259E+00,-7.38016337156E+00,+4.51071435213E+00
-21.30000E-06,-2.76482406258E+00,-7.38016337153E+00,+4.51071435210E+00
-21.27500E-06,-2.68442205340E+00,-6.97815331817E+00,+4.18905907869E+00
-21.25000E-06,-2.76482406259E+00,-6.97815331817E+00,+4.10910302401E+00
-21.22500E-06,-2.68442205340E+00,-6.97815331817E+00,+4.18905907869E+00
-21.20000E-06,-2.68442205340E+00,-6.57614326477E+00,+3.78744775057E+00
-21.17500E-06,-2.68442205340E+00,-6.57614326477E+00,+3.78744775057E+00
-21.15000E-06,-2.76482406258E+00,-6.57614326477E+00,+3.70749169589E+00
-21.12500E-06,-2.60402004421E+00,-6.57614326477E+00,+3.86740380526E+00
-21.10000E-06,-2.68442205340E+00,-6.17413321137E+00,+3.38583642244E+00
-21.07500E-06,-2.52361803502E+00,-6.17413321137E+00,+3.54574853182E+00
-21.05000E-06,-2.52361803502E+00,-6.17413321137E+00,+3.54574853182E+00
-21.02500E-06,-2.60402004421E+00,-6.17413321137E+00,+3.46579247713E+00
-21.00000E-06,-2.52361803502E+00,-5.77212315798E+00,+3.14413720369E+00
-20.97500E-06,-2.44321602584E+00,-5.77212315798E+00,+3.22409325837E+00
-20.95000E-06,-2.52361803502E+00,-5.77212315794E+00,+3.14413720365E+00
-20.92500E-06,-2.44321602584E+00,-5.37011310458E+00,+2.82248193025E+00
-20.90000E-06,-2.36281401665E+00,-5.37011310458E+00,+2.90243798494E+00
-20.87500E-06,-2.44321602583E+00,-5.37011310458E+00,+2.82248193026E+00
-20.85000E-06,-2.36281401664E+00,-4.96810305119E+00,+2.50082665682E+00
-20.82500E-06,-2.44321602583E+00,-4.96810305119E+00,+2.42087060213E+00
-20.80000E-06,-2.36281401664E+00,-4.96810305114E+00,+2.50082665678E+00
-20.77500E-06,-2.36281401664E+00,-4.56609299779E+00,+2.09921532869E+00
-20.75000E-06,-2.36281401664E+00,-4.56609299779E+00,+2.09921532869E+00
-20.72500E-06,-2.36281401664E+00,-4.96810305119E+00,+2.50082665682E+00
-20.70000E-06,-2.28241200745E+00,-4.56609299779E+00,+2.17917138338E+00
-20.67500E-06,-2.28241200745E+00,-4.16408294439E+00,+1.77756005526E+00
-20.65000E-06,-2.20200999826E+00,-4.16408294439E+00,+1.85751610994E+00
-20.62500E-06,-2.20200999826E+00,-4.56609299779E+00,+2.25912743807E+00
-20.60000E-06,-2.20200999826E+00,-4.16408294439E+00,+1.85751610994E+00
-20.57500E-06,-2.12160798907E+00,-3.76207289104E+00,+1.53586083655E+00
-20.55000E-06,-2.20200999825E+00,-3.76207289100E+00,+1.45590478183E+00
-20.52500E-06,-2.12160798907E+00,-3.76207289100E+00,+1.53586083651E+00
-20.50000E-06,-2.04120597989E+00,-3.76207289095E+00,+1.61581689114E+00
-20.47500E-06,-2.04120597988E+00,-3.36006283760E+00,+1.21420556307E+00
-20.45000E-06,-2.04120597988E+00,-3.36006283760E+00,+1.21420556307E+00
-20.42500E-06,-2.04120597988E+00,-2.95805278420E+00,+812.59423494E-03
